Professor,Course,Room,Day,Time Slot
Rebecca Archer,Machine Learning,r13,Thursday,50
Rebecca Archer,Visualizations,r13,Thursday,50
Rebecca Archer,Applied Chemistry,r13,Thursday,50
Rebecca Archer,Computer Theory,r13,Thursday,50
Rebecca Archer,Network Analysis,r13,Thursday,50
Trevor Buckley,Calculus,r13,Thursday,50
Trevor Buckley,Physics,r13,Thursday,50
Trevor Buckley,Advanced Algorithms,r13,Thursday,50
Trevor Buckley,Database Management,r13,Thursday,50
Trevor Buckley,Discrete Mathematics,r13,Thursday,50
Trevor Buckley,Software Design and Analysis,r13,Thursday,50
Trevor Buckley,Computer Vision,r13,Thursday,50
Trevor Buckley,Machine Learning,r13,Thursday,50
Trevor Buckley,Visualizations,r13,Thursday,50
Trevor Buckley,Applied Chemistry,r13,Thursday,50
Trevor Buckley,Computer Theory,r13,Thursday,50
Trevor Buckley,Network Analysis,r13,Thursday,50
Jennifer Aaron,Calculus,r13,Thursday,50
Jennifer Aaron,Physics,r13,Thursday,50
Jennifer Aaron,Advanced Algorithms,r13,Thursday,50
Jennifer Aaron,Database Management,r13,Thursday,50
Jennifer Aaron,Discrete Mathematics,r13,Thursday,50
Jennifer Aaron,Software Design and Analysis,r13,Thursday,50
Jennifer Aaron,Computer Vision,r13,Thursday,50
Jennifer Aaron,Machine Learning,r13,Thursday,50
Jennifer Aaron,Visualizations,r13,Thursday,50
Jennifer Aaron,Applied Chemistry,r13,Thursday,50
Jennifer Aaron,Computer Theory,r13,Thursday,50
Jennifer Aaron,Network Analysis,r13,Thursday,50
Gillian Auger,Calculus,r13,Thursday,50
Gillian Auger,Physics,r13,Thursday,50
Gillian Auger,Advanced Algorithms,r13,Thursday,50
Gillian Auger,Database Management,r13,Thursday,50
Gillian Auger,Discrete Mathematics,r13,Thursday,50
Gillian Auger,Software Design and Analysis,r13,Thursday,50
Gillian Auger,Computer Vision,r13,Thursday,50
Gillian Auger,Machine Learning,r13,Thursday,50
Gillian Auger,Visualizations,r13,Thursday,50
Gillian Auger,Applied Chemistry,r13,Thursday,50
Gillian Auger,Computer Theory,r13,Thursday,50
Gillian Auger,Network Analysis,r13,Thursday,50
Scott Cogan,Calculus,r13,Thursday,50
Scott Cogan,Physics,r13,Thursday,50
Scott Cogan,Advanced Algorithms,r13,Thursday,50
Scott Cogan,Database Management,r13,Thursday,50
Scott Cogan,Discrete Mathematics,r13,Thursday,50
Scott Cogan,Software Design and Analysis,r13,Thursday,50
Scott Cogan,Computer Vision,r13,Thursday,50
Scott Cogan,Machine Learning,r13,Thursday,50
Scott Cogan,Visualizations,r13,Thursday,50
Scott Cogan,Applied Chemistry,r13,Thursday,50
Scott Cogan,Computer Theory,r13,Thursday,50
Scott Cogan,Network Analysis,r13,Thursday,50
Rena Gregory,Calculus,r13,Thursday,50
Rena Gregory,Physics,r13,Thursday,50
Rena Gregory,Advanced Algorithms,r13,Thursday,50
Rena Gregory,Database Management,r13,Thursday,50
Rena Gregory,Discrete Mathematics,r13,Thursday,50
Rena Gregory,Software Design and Analysis,r13,Thursday,50
Rena Gregory,Computer Vision,r13,Thursday,50
Rena Gregory,Machine Learning,r13,Thursday,50
Rena Gregory,Visualizations,r13,Thursday,50
Rena Gregory,Applied Chemistry,r13,Thursday,50
Rena Gregory,Computer Theory,r13,Thursday,50
Rena Gregory,Network Analysis,r13,Thursday,50
Katelyn Talty,Calculus,r13,Thursday,50
Katelyn Talty,Physics,r13,Thursday,50
Katelyn Talty,Advanced Algorithms,r13,Thursday,50
Katelyn Talty,Database Management,r13,Thursday,50
Katelyn Talty,Discrete Mathematics,r13,Thursday,50
Katelyn Talty,Software Design and Analysis,r13,Thursday,50
Katelyn Talty,Computer Vision,r13,Thursday,50
Katelyn Talty,Machine Learning,r13,Thursday,50
Katelyn Talty,Visualizations,r13,Thursday,50
Katelyn Talty,Applied Chemistry,r13,Thursday,50
Katelyn Talty,Computer Theory,r13,Thursday,50
Katelyn Talty,Network Analysis,r13,Thursday,50
Nathan Nichols,Calculus,r13,Thursday,50
Nathan Nichols,Physics,r13,Thursday,50
Nathan Nichols,Advanced Algorithms,r13,Thursday,50
Nathan Nichols,Database Management,r13,Thursday,50
Nathan Nichols,Discrete Mathematics,r13,Thursday,50
Nathan Nichols,Software Design and Analysis,r13,Thursday,50
Nathan Nichols,Computer Vision,r13,Thursday,50
Nathan Nichols,Machine Learning,r13,Thursday,50
Nathan Nichols,Visualizations,r13,Thursday,50
Nathan Nichols,Applied Chemistry,r13,Thursday,50
Nathan Nichols,Computer Theory,r13,Thursday,50
Nathan Nichols,Network Analysis,r13,Thursday,50
Karter Caldwell,Calculus,r13,Thursday,50
Karter Caldwell,Physics,r13,Thursday,50
Karter Caldwell,Advanced Algorithms,r13,Thursday,50
Karter Caldwell,Database Management,r13,Thursday,50
Karter Caldwell,Discrete Mathematics,r13,Thursday,50
Karter Caldwell,Software Design and Analysis,r13,Thursday,50
Karter Caldwell,Computer Vision,r13,Thursday,50
Karter Caldwell,Machine Learning,r13,Thursday,50
Karter Caldwell,Visualizations,r13,Thursday,50
Karter Caldwell,Applied Chemistry,r13,Thursday,50
Karter Caldwell,Computer Theory,r13,Thursday,50
Karter Caldwell,Network Analysis,r13,Thursday,50
